title,type,release_year,runtime,seasons,imdb_score,imdb_votes,lead_production,production_countries_cnt,lead_genres,genres_cnt,movie_cluster,dbscan_clusters
The Three Stooges,SHOW,1934,19,26.0,8.6,1092.0,US,1,comedy,6,-1,-1
The General,MOVIE,1926,78,0.0,8.2,89766.0,US,1,action,6,0,0
The Best Years of Our Lives,MOVIE,1946,171,0.0,8.1,63026.0,US,1,romance,3,1,1
His Girl Friday,MOVIE,1940,92,0.0,7.8,57835.0,US,1,comedy,3,2,2
In a Lonely Place,MOVIE,1950,94,0.0,7.9,30924.0,US,1,thriller,3,3,3
Stagecoach,MOVIE,1939,96,0.0,7.8,48149.0,US,1,western,2,4,4
It's a Wonderful Life,MOVIE,1946,130,0.0,8.6,444243.0,US,1,drama,5,5,5
Detour,MOVIE,1945,66,0.0,7.3,17233.0,US,1,thriller,3,3,3
My Man Godfrey,MOVIE,1936,95,0.0,8.0,23532.0,US,1,comedy,3,2,2
Marihuana,MOVIE,1936,57,0.0,4.0,864.0,US,1,crime,2,6,6
Intolerance: Love's Struggle Throughout the Ages,MOVIE,1916,197,0.0,7.7,15242.0,US,1,history,2,-1,-1
The Stranger,MOVIE,1946,95,0.0,7.3,26293.0,US,1,thriller,3,3,3
The Phantom of the Opera,MOVIE,1925,101,0.0,7.5,18190.0,US,1,horror,1,7,7
Tell Your Children,MOVIE,1938,66,0.0,3.7,8617.0,US,1,drama,2,5,5
The Most Dangerous Game,MOVIE,1932,63,0.0,7.1,12203.0,US,1,thriller,3,3,3
Wuthering Heights,MOVIE,1939,104,0.0,7.5,17956.0,US,1,drama,2,5,5
The Woman in the Window,MOVIE,1944,99,0.0,7.6,15909.0,US,1,drama,3,5,5
"Steamboat Bill, Jr.",MOVIE,1928,70,0.0,7.8,14499.0,US,1,drama,5,5,5
The Little Foxes,MOVIE,1941,115,0.0,7.9,11775.0,US,1,romance,2,1,1
Stella Dallas,MOVIE,1937,106,0.0,7.4,5440.0,US,1,drama,2,5,5
Dodsworth,MOVIE,1936,101,0.0,7.8,9063.0,US,1,romance,2,1,1
Sands of Iwo Jima,MOVIE,1950,100,0.0,7.0,10399.0,US,1,drama,4,5,5
The Pride of the Yankees,MOVIE,1942,128,0.0,7.6,10866.0,US,1,drama,3,5,5
Things to Come,MOVIE,1936,89,0.0,6.6,7965.0,GB,1,scifi,3,49,49
Cyrano de Bergerac,MOVIE,1950,112,0.0,7.4,4085.0,US,1,drama,2,5,5
Scarlet Street,MOVIE,1945,103,0.0,7.8,16405.0,US,1,thriller,2,3,3
Made for Each Other,MOVIE,1939,92,0.0,6.3,3582.0,US,1,comedy,3,2,2
The Thief of Bagdad,MOVIE,1924,149,0.0,7.7,6134.0,US,1,romance,3,1,1
D.O.A.,MOVIE,1950,83,0.0,7.2,11816.0,US,1,crime,4,6,6
Jungle Book,MOVIE,1942,106,0.0,6.7,4195.0,US,1,fantasy,3,8,8
Love Affair,MOVIE,1939,88,0.0,7.3,5421.0,US,1,romance,3,1,1
The Bishop's Wife,MOVIE,1947,109,0.0,7.6,17675.0,US,1,fantasy,4,8,8
Of Human Bondage,MOVIE,1934,83,0.0,7.0,7332.0,US,1,drama,2,5,5
Our Town,MOVIE,1940,90,0.0,6.5,2607.0,US,1,romance,3,1,1
The Little Princess,MOVIE,1939,93,0.0,7.1,6122.0,US,1,comedy,3,2,2
The Jackie Robinson Story,MOVIE,1950,76,0.0,6.3,1272.0,US,1,drama,2,5,5
The Secret Life of Walter Mitty,MOVIE,1947,105,0.0,6.9,6307.0,US,1,romance,3,1,1
The Strange Love of Martha Ivers,MOVIE,1946,115,0.0,7.4,9729.0,US,1,thriller,3,3,3
Flying Tigers,MOVIE,1942,102,0.0,6.7,3917.0,MX,2,drama,4,-1,-1
Lady Windermere's Fan,MOVIE,1925,120,0.0,7.2,1157.0,US,1,comedy,1,2,2
Dead End,MOVIE,1937,93,0.0,7.3,7504.0,US,1,crime,3,6,6
Meet John Doe,MOVIE,1941,122,0.0,7.6,13443.0,US,1,romance,3,1,1
The Outlaw,MOVIE,1943,116,0.0,6.1,464.0,US,1,western,1,4,4
The Front Page,MOVIE,1931,101,0.0,6.2,17.0,US,1,comedy,5,2,2
White Zombie,MOVIE,1932,67,0.0,6.3,10410.0,US,1,horror,1,7,7
Bird of Paradise,MOVIE,1932,80,0.0,6.0,1298.0,US,1,romance,2,1,1
The Lost World,MOVIE,1925,93,0.0,7.0,5185.0,US,1,fantasy,3,8,8
49th Parallel,MOVIE,1941,123,0.0,7.3,6716.0,GB,2,thriller,3,9,9
The Private Life of Henry VIII,MOVIE,1933,90,0.0,7.0,4297.0,GB,1,history,4,-1,-1
The Southerner,MOVIE,1945,92,0.0,7.1,3443.0,US,1,drama,1,5,5
Hangmen Also Die!,MOVIE,1943,134,0.0,7.4,5442.0,US,1,thriller,3,3,3
A Farewell to Arms,MOVIE,1932,89,0.0,6.4,5970.0,US,1,drama,3,5,5
The Scarlet Letter,MOVIE,1934,69,0.0,5.3,367.0,US,1,drama,3,5,5
The Hunchback of Notre Dame,MOVIE,1923,113,0.0,7.2,5387.0,US,1,horror,3,7,7
Tabu,MOVIE,1931,86,0.0,7.4,5783.0,US,1,drama,3,5,5
The Big Lift,MOVIE,1950,120,0.0,6.5,1550.0,DE,2,drama,2,10,10
Why We Fight: Prelude to War,MOVIE,1942,53,0.0,7.0,2194.0,US,1,documentation,2,11,11
The Fighting Kentuckian,MOVIE,1949,100,0.0,6.4,3260.0,US,1,western,3,4,4
Santa Fe Trail,MOVIE,1940,110,0.0,6.2,3754.0,US,1,western,5,4,4
Dick Tracy,MOVIE,1945,61,0.0,5.9,1380.0,US,1,action,4,0,0
Woman on the Run,MOVIE,1950,77,0.0,7.2,3901.0,US,1,drama,3,5,5
Life with Father,MOVIE,1947,118,0.0,7.1,5446.0,US,1,comedy,2,2,2
Nothing Sacred,MOVIE,1937,77,0.0,6.9,6570.0,US,1,romance,4,1,1
Penny Serenade,MOVIE,1941,119,0.0,7.1,7087.0,US,1,romance,2,1,1
He Walked by Night,MOVIE,1949,79,0.0,7.1,5943.0,US,1,thriller,2,3,3
Algiers,MOVIE,1938,96,0.0,6.7,2803.0,US,1,drama,2,5,5
Louisiana Story,MOVIE,1948,78,0.0,6.6,1895.0,US,1,drama,1,5,5
Jack London,MOVIE,1943,94,0.0,5.1,389.0,US,1,drama,3,5,5
Broken Blossoms,MOVIE,1919,89,0.0,7.3,10230.0,US,1,romance,2,1,1
Dr. Jekyll and Mr. Hyde,MOVIE,1920,79,0.0,6.9,5367.0,US,1,horror,3,7,7
The Pleasure Garden,MOVIE,1925,75,0.0,5.8,2504.0,GB,1,romance,2,66,66
Too Late for Tears,MOVIE,1949,99,0.0,7.3,4678.0,US,1,crime,3,6,6
Trapped,MOVIE,1949,78,0.0,6.4,1352.0,US,1,thriller,3,3,3
Mother,MOVIE,1926,89,0.0,7.5,2785.0,SU,1,drama,1,-1,-1
Orphans of the Storm,MOVIE,1921,150,0.0,7.3,5133.0,US,1,drama,3,5,5
Let There Be Light,MOVIE,1946,58,0.0,7.4,1850.0,US,1,war,2,12,12
The Red House,MOVIE,1947,100,0.0,6.8,4016.0,US,1,thriller,3,3,3
Robin Hood,MOVIE,1922,133,0.0,7.1,2219.0,US,1,romance,2,1,1
The Hurricane,MOVIE,1937,110,0.0,7.2,2595.0,US,1,drama,3,5,5
Payoff in the Pacific,MOVIE,1945,56,0.0,6.1,464.0,,1,,1,13,13
The Memphis Belle: A Story of a Flying Fortress,MOVIE,1944,45,0.0,7.3,1646.0,US,1,war,3,12,12
The Cat and the Canary,MOVIE,1927,108,0.0,7.1,2981.0,US,1,comedy,3,2,2
These Three,MOVIE,1936,93,0.0,7.4,2705.0,US,1,romance,2,1,1
Smash-Up: The Story of a Woman,MOVIE,1947,103,0.0,6.4,1489.0,US,1,drama,3,5,5
Submarine Warfare,MOVIE,1944,38,0.0,5.9,9.0,US,1,war,2,12,12
Impact,MOVIE,1949,111,0.0,7.0,3809.0,US,1,thriller,3,3,3
The Amazing Mr. X,MOVIE,1948,78,0.0,6.4,1789.0,US,1,thriller,2,3,3
The Green Hornet,MOVIE,1940,258,0.0,6.5,609.0,US,1,crime,5,6,6
College,MOVIE,1927,66,0.0,7.0,4836.0,US,1,comedy,3,2,2
The Devil Bat,MOVIE,1940,68,0.0,5.5,3006.0,US,1,horror,2,7,7
A Song Is Born,MOVIE,1948,113,0.0,6.9,2489.0,US,1,music,4,14,14
What's My Line?,SHOW,1950,30,18.0,8.6,1563.0,US,1,reality,2,-1,-1
The Headless Horseman,MOVIE,1922,76,0.0,4.9,299.0,US,1,horror,3,7,7
Sherlock Holmes and the Secret Weapon,MOVIE,1943,68,0.0,6.5,5948.0,US,1,thriller,3,3,3
The Kennel Murder Case,MOVIE,1933,73,0.0,6.9,3447.0,US,1,crime,1,6,6
The Woman in Green,MOVIE,1945,68,0.0,6.6,6065.0,US,1,thriller,3,3,3
Wonder Man,MOVIE,1945,98,0.0,6.9,2228.0,US,1,fantasy,2,8,8
At War with the Army,MOVIE,1950,93,0.0,5.5,2373.0,US,1,comedy,2,2,2
Fear in the Night,MOVIE,1947,72,0.0,6.4,1549.0,US,1,thriller,3,3,3
San Pietro,MOVIE,1945,32,0.0,6.1,464.0,US,1,war,2,12,12
Becky Sharp,MOVIE,1935,84,0.0,5.9,1097.0,US,1,drama,3,5,5
Gulliver's Travels,MOVIE,1939,76,0.0,6.6,4330.0,US,1,action,6,0,0
The Inspector General,MOVIE,1949,101,0.0,6.7,3295.0,US,1,romance,2,1,1
The Vampire Bat,MOVIE,1933,64,0.0,5.7,2558.0,US,1,horror,5,7,7
Svengali,MOVIE,1931,81,0.0,6.8,2027.0,US,1,horror,5,7,7
Pot o' Gold,MOVIE,1941,86,0.0,6.0,1745.0,US,1,romance,2,1,1
My Favorite Brunette,MOVIE,1947,87,0.0,6.8,3404.0,US,1,thriller,4,3,3
Within Our Gates,MOVIE,1920,74,0.0,6.4,3098.0,US,1,drama,2,5,5
Way Down East,MOVIE,1920,145,0.0,7.4,5460.0,US,1,romance,2,1,1
Ghosts on the Loose,MOVIE,1943,67,0.0,5.0,1367.0,US,1,comedy,3,2,2
My Foolish Heart,MOVIE,1950,98,0.0,6.9,1055.0,US,1,drama,2,5,5
Terror by Night,MOVIE,1946,60,0.0,6.8,6070.0,US,1,thriller,3,3,3
Till the Clouds Roll By,MOVIE,1946,132,0.0,6.3,2406.0,US,1,music,1,14,14
King of the Zombies,MOVIE,1941,67,0.0,5.2,2206.0,US,1,comedy,2,2,2
Our Daily Bread,MOVIE,1934,80,0.0,7.0,1968.0,US,1,romance,2,1,1
Judge Priest,MOVIE,1934,80,0.0,6.2,2196.0,US,1,comedy,3,2,2
Angel and the Badman,MOVIE,1947,100,0.0,6.8,5913.0,US,1,western,2,4,4
That Uncertain Feeling,MOVIE,1941,84,0.0,6.6,2676.0,US,1,romance,2,1,1
The Emperor Jones,MOVIE,1933,75,0.0,6.4,1077.0,US,1,drama,2,5,5
The Mad Monster,MOVIE,1942,77,0.0,3.5,1743.0,US,1,horror,4,7,7
The North Star,MOVIE,1943,108,0.0,5.9,1510.0,US,1,drama,3,5,5
Revolt of the Zombies,MOVIE,1936,65,0.0,3.4,1693.0,US,1,horror,1,7,7
Tulsa,MOVIE,1949,90,0.0,6.2,1197.0,US,1,drama,4,5,5
Africa Screams,MOVIE,1949,140,0.0,6.0,3776.0,US,1,comedy,2,2,2
Bluebeard,MOVIE,1944,71,0.0,5.9,1892.0,US,1,crime,3,6,6
Captain Kidd,MOVIE,1945,90,0.0,6.3,1757.0,US,1,drama,2,5,5
Nazi Concentration Camps,MOVIE,1945,59,0.0,8.3,1437.0,US,1,documentation,2,11,11
A Fool There Was,MOVIE,1915,67,0.0,5.7,920.0,US,1,drama,1,5,5
Come and Get It,MOVIE,1936,99,0.0,6.9,2094.0,US,1,romance,2,1,1
Tarzan of the Apes,MOVIE,1918,60,0.0,5.8,819.0,US,1,action,1,0,0
Riders of the Whistling Pines,MOVIE,1949,70,0.0,5.7,208.0,US,1,western,3,4,4
The Woman of the Town,MOVIE,1943,90,0.0,6.1,183.0,US,1,western,3,4,4
Bowery at Midnight,MOVIE,1942,61,0.0,5.3,1113.0,US,1,horror,3,7,7
Dressed to Kill,MOVIE,1946,72,0.0,6.8,6050.0,US,1,crime,1,6,6
Little Lord Fauntleroy,MOVIE,1936,102,0.0,7.2,2132.0,US,1,drama,2,5,5
The Last of the Mohicans,MOVIE,1920,73,0.0,6.7,1275.0,US,1,drama,4,5,5
Sex,MOVIE,1920,87,0.0,5.9,309.0,US,1,drama,2,5,5
The Iron Mask,MOVIE,1929,103,0.0,7.0,1272.0,US,1,action,4,0,0
The Black Pirate,MOVIE,1926,94,0.0,7.1,1892.0,US,1,drama,2,5,5
Air Eagles,MOVIE,1931,72,0.0,4.8,63.0,US,1,romance,4,1,1
Enchantment,MOVIE,1948,100,0.0,7.2,1199.0,US,1,romance,2,1,1
Spooks Run Wild,MOVIE,1941,65,0.0,5.4,1700.0,US,1,horror,2,7,7
"Swing High, Swing Low",MOVIE,1937,92,0.0,6.2,755.0,US,1,drama,4,5,5
Scared to Death,MOVIE,1947,65,0.0,4.0,1605.0,US,1,thriller,2,3,3
Alice in Wonderland,MOVIE,1915,59,0.0,6.2,510.0,US,1,fantasy,2,8,8
The Animal Kingdom,MOVIE,1932,85,0.0,6.4,1121.0,US,1,drama,3,5,5
Glorifying the American Girl,MOVIE,1929,95,0.0,5.8,717.0,US,1,music,3,14,14
Lady of Burlesque,MOVIE,1943,91,0.0,6.3,2397.0,US,1,romance,3,1,1
Tarzan the Fearless,MOVIE,1933,228,0.0,4.9,711.0,US,1,action,3,0,0
The Gorilla,MOVIE,1939,68,0.0,4.8,1458.0,US,1,thriller,3,3,3
Why We Fight: The Nazis Strike,MOVIE,1943,42,0.0,7.0,770.0,US,1,war,3,12,12
Gung Ho!,MOVIE,1943,88,0.0,6.0,1441.0,US,1,drama,3,5,5
Hop-a-long Cassidy,MOVIE,1935,60,0.0,6.8,349.0,US,1,western,3,4,4
The Cheat,MOVIE,1915,59,0.0,6.5,2549.0,US,1,drama,2,5,5
Three Came Home,MOVIE,1950,106,0.0,7.3,1871.0,US,1,drama,2,5,5
Yellowstone,MOVIE,1936,63,0.0,5.3,142.0,US,1,drama,4,5,5
Blue Steel,MOVIE,1934,59,0.0,5.3,1586.0,US,1,western,3,4,4
Nancy Drew... Reporter,MOVIE,1939,68,0.0,6.6,1193.0,US,1,comedy,3,2,2
One Body Too Many,MOVIE,1944,75,0.0,5.3,1227.0,US,1,thriller,3,3,3
Sparrows,MOVIE,1926,84,0.0,7.4,1334.0,US,1,drama,1,5,5
Hollow Triumph,MOVIE,1950,90,0.0,6.7,2764.0,US,1,thriller,3,3,3
Dishonored Lady,MOVIE,1947,85,0.0,6.4,1384.0,US,1,drama,2,5,5
The Second Woman,MOVIE,1950,91,0.0,6.3,1209.0,US,1,drama,2,5,5
Topper Returns,MOVIE,1941,88,0.0,6.8,3012.0,US,1,romance,3,1,1
Quicksand,MOVIE,1950,79,0.0,6.6,2368.0,US,1,romance,3,1,1
The Death Kiss,MOVIE,1932,75,0.0,6.0,1127.0,US,1,comedy,4,2,2
The Ape Man,MOVIE,1943,64,0.0,4.4,1315.0,US,1,horror,5,7,7
The Amazing Quest of Ernest Bliss,MOVIE,1936,80,0.0,6.2,1860.0,GB,1,romance,3,66,66
The Great Rupert,MOVIE,1950,88,0.0,6.5,1228.0,US,1,comedy,2,2,2
They Made Me a Criminal,MOVIE,1939,92,0.0,6.8,2300.0,US,1,drama,3,5,5
Midnight,MOVIE,1934,76,0.0,5.5,970.0,US,1,crime,3,6,6
The Great Flamarion,MOVIE,1945,78,0.0,6.5,1228.0,US,1,drama,3,5,5
The Driftin' Kid,MOVIE,1941,57,0.0,6.0,33.0,US,1,western,2,4,4
The Return Of Chandu,MOVIE,1934,60,0.0,5.9,359.0,US,1,fantasy,3,8,8
Suicide Squad,MOVIE,1935,56,0.0,4.2,127.0,US,1,romance,3,1,1
Stage Door Canteen,MOVIE,1943,132,0.0,6.3,1671.0,US,1,comedy,3,2,2
The Corpse Vanishes,MOVIE,1942,64,0.0,4.5,3174.0,US,1,scifi,2,15,15
Black Dragons,MOVIE,1942,64,0.0,4.2,1129.0,US,1,horror,3,7,7
The Gang's All Here,MOVIE,1941,61,0.0,5.4,180.0,US,1,comedy,2,2,2
Beyond Tomorrow,MOVIE,1940,84,0.0,6.5,1847.0,US,1,fantasy,3,8,8
A Florida Enchantment,MOVIE,1914,63,0.0,5.8,251.0,US,1,fantasy,2,8,8
The Babe Ruth Story,MOVIE,1948,106,0.0,5.2,1072.0,US,1,drama,3,5,5
Why We Fight: The Battle of Russia,MOVIE,1943,83,0.0,7.1,1459.0,US,1,documentation,3,11,11
Bulldog Drummond,MOVIE,1929,90,0.0,6.3,1044.0,US,1,thriller,3,3,3
The Eagle,MOVIE,1925,73,0.0,6.6,2012.0,US,1,romance,6,1,1
Whistle Stop,MOVIE,1946,85,0.0,5.5,1159.0,US,1,drama,2,5,5
Eyes of Texas,MOVIE,1948,70,0.0,6.3,152.0,US,1,western,1,4,4
'Neath the Arizona Skies,MOVIE,1934,52,0.0,5.1,997.0,US,1,western,3,4,4
Millie,MOVIE,1931,85,0.0,6.2,717.0,US,1,drama,2,5,5
Target for Tonight,MOVIE,1941,48,0.0,6.3,352.0,GB,1,documentation,3,-1,-1
The Capture,MOVIE,1950,91,0.0,5.9,536.0,US,1,drama,4,5,5
Attack in the Pacific,MOVIE,1944,52,0.0,6.5,62.0,US,1,war,3,12,12
Under California Stars,MOVIE,1948,70,0.0,5.6,320.0,US,1,western,4,4,4
Report from the Aleutians,MOVIE,1943,47,0.0,6.4,631.0,US,1,documentation,3,11,11
The Marriage Circle,MOVIE,1924,85,0.0,7.1,1264.0,US,1,comedy,2,2,2
Loaded Pistols,MOVIE,1948,78,0.0,5.9,139.0,US,1,western,1,4,4
Scrooge,MOVIE,1935,78,0.0,6.5,2271.0,GB,1,drama,3,16,16
Hoosier Schoolboy,MOVIE,1937,62,0.0,5.6,180.0,US,1,drama,1,5,5
Invisible Ghost,MOVIE,1941,63,0.0,5.2,2188.0,US,1,thriller,4,3,3
Li'l Abner,MOVIE,1940,78,0.0,4.9,457.0,US,1,comedy,2,2,2
The Crystal Ball,MOVIE,1943,81,0.0,6.5,719.0,US,1,comedy,2,2,2
Hearts of the World,MOVIE,1918,117,0.0,6.6,999.0,US,1,drama,2,5,5
Blind Husbands,MOVIE,1919,89,0.0,6.9,1538.0,US,1,drama,2,5,5
"Salome, Where She Danced",MOVIE,1945,90,0.0,5.4,318.0,US,1,drama,5,5,5
Tom Brown's School Days,MOVIE,1940,86,0.0,6.6,490.0,US,1,drama,1,5,5
Chandu on the Magic Island,MOVIE,1935,70,0.0,4.4,174.0,US,1,fantasy,2,8,8
Not Wanted,MOVIE,1949,91,0.0,6.8,708.0,US,1,drama,1,5,5
Billy The Kid Returns,MOVIE,1938,53,0.0,5.8,271.0,US,1,western,5,4,4
Blonde Ice,MOVIE,1948,73,0.0,6.0,1080.0,US,1,drama,3,5,5
Robin Hood of the Pecos,MOVIE,1941,59,0.0,5.9,191.0,US,1,western,3,4,4
High Lonesome,MOVIE,1950,81,0.0,5.3,244.0,US,1,western,1,4,4
Angel on My Shoulder,MOVIE,1946,100,0.0,6.8,2762.0,US,1,fantasy,3,8,8
The Princess and the Pirate,MOVIE,1944,94,0.0,6.8,2179.0,US,1,action,3,0,0
The Stolen Jools,MOVIE,1931,20,0.0,6.1,464.0,US,1,comedy,1,2,2
City Without Men,MOVIE,1943,75,0.0,5.3,128.0,US,1,drama,2,5,5
Up in Arms,MOVIE,1944,105,0.0,6.3,983.0,US,1,drama,4,5,5
The Terror of Tiny Town,MOVIE,1938,62,0.0,3.9,1760.0,US,1,comedy,6,2,2
"$50,000 Reward",MOVIE,1924,55,0.0,5.2,60.0,US,1,western,1,4,4
Sagebrush Trail,MOVIE,1933,54,0.0,5.4,1232.0,US,1,western,4,4,4
Murder by Television,MOVIE,1935,53,0.0,4.1,674.0,US,1,horror,3,7,7
A Shriek in the Night,MOVIE,1933,66,0.0,5.2,948.0,US,1,thriller,5,3,3
The Milky Way,MOVIE,1936,89,0.0,6.5,1671.0,US,1,comedy,4,2,2
The Monster Walks,MOVIE,1932,60,0.0,4.1,939.0,US,1,thriller,2,3,3
Raffles,MOVIE,1939,72,0.0,6.4,996.0,US,1,thriller,6,3,3
Oliver Twist,MOVIE,1933,80,0.0,5.0,361.0,US,1,drama,2,5,5
The New Adventures of Tarzan,MOVIE,1935,70,0.0,4.4,194.0,US,1,action,3,0,0
Lumberjack,MOVIE,1944,65,0.0,6.4,175.0,US,1,western,4,4,4
Little Annie Rooney,MOVIE,1925,95,0.0,6.8,974.0,US,1,comedy,2,2,2
The Patchwork Girl of Oz,MOVIE,1914,81,0.0,5.4,477.0,US,1,fantasy,3,8,8
The Ghost Walks,MOVIE,1934,69,0.0,5.6,502.0,US,1,horror,3,7,7
The Strange Woman,MOVIE,1946,100,0.0,6.6,2048.0,US,1,romance,3,1,1
Jivin' in Bebop,MOVIE,1946,59,0.0,6.8,48.0,US,1,documentation,2,11,11
Blood on the Sun,MOVIE,1945,93,0.0,6.0,2020.0,US,1,drama,4,5,5
The Perils of Pauline,MOVIE,1947,96,0.0,6.4,1172.0,US,1,comedy,3,2,2
Happy Go Lucky,MOVIE,1936,53,0.0,5.2,73.0,US,1,drama,3,5,5
The Big Cat,MOVIE,1949,75,0.0,5.4,236.0,US,1,western,4,4,4
Squadron of Doom,MOVIE,1949,75,0.0,5.0,18.0,US,1,action,2,0,0
"Parlor, Bedroom and Bath",MOVIE,1931,73,0.0,6.1,885.0,US,1,comedy,1,2,2
23 1/2 Hours Leave,MOVIE,1937,72,0.0,5.1,52.0,US,1,comedy,3,2,2
The Pace That Kills,MOVIE,1935,68,0.0,3.6,643.0,US,1,drama,2,5,5
Dirty Gertie from Harlem U.S.A.,MOVIE,1946,65,0.0,5.2,244.0,US,1,drama,1,5,5
Fog Island,MOVIE,1945,72,0.0,5.2,791.0,US,1,horror,4,7,7
The Flying Deuces,MOVIE,1939,69,0.0,6.8,5164.0,US,1,comedy,3,2,2
True Heart Susie,MOVIE,1919,87,0.0,6.9,1796.0,US,1,drama,3,5,5
Big News,MOVIE,1929,75,0.0,5.4,267.0,US,1,comedy,2,2,2
Mr. Robinson Crusoe,MOVIE,1932,76,0.0,5.6,429.0,US,1,action,4,0,0
The Painted Desert,MOVIE,1931,79,0.0,5.1,700.0,US,1,western,1,4,4
Secret of the Wastelands,MOVIE,1941,66,0.0,6.6,169.0,US,1,western,2,4,4
Blockade,MOVIE,1938,85,0.0,5.6,557.0,US,1,drama,3,5,5
Two Weeks to Live,MOVIE,1943,76,0.0,5.6,198.0,US,1,comedy,2,2,2
Randy Rides Alone,MOVIE,1934,53,0.0,5.3,1060.0,US,1,western,3,4,4
Abilene Town,MOVIE,1946,89,0.0,6.2,1000.0,US,1,western,3,4,4
Port of New York,MOVIE,1949,82,0.0,6.0,920.0,US,1,crime,3,6,6
God's Step Children,MOVIE,1938,70,0.0,5.7,102.0,US,1,drama,1,5,5
Broadway to Cheyenne,MOVIE,1932,52,0.0,4.7,140.0,US,1,western,4,4,4
One Exciting Night,MOVIE,1922,143,0.0,5.5,150.0,US,1,crime,3,6,6
Apology for Murder,MOVIE,1945,67,0.0,5.7,340.0,US,1,crime,2,6,6
Hi Diddle Diddle,MOVIE,1943,72,0.0,6.7,583.0,US,1,comedy,2,2,2
Wild Weed,MOVIE,1949,70,0.0,4.3,438.0,US,1,drama,1,5,5
Love Laughs at Andy Hardy,MOVIE,1946,93,0.0,5.9,699.0,US,1,comedy,3,2,2
The Fabulous Dorseys,MOVIE,1947,88,0.0,5.6,571.0,US,1,drama,3,5,5
The Hoosier Schoolmaster,MOVIE,1935,75,0.0,5.7,63.0,US,1,drama,1,5,5
Man With Two Lives,MOVIE,1942,65,0.0,5.2,259.0,US,1,horror,2,7,7
I Cover the Waterfront,MOVIE,1933,75,0.0,6.3,594.0,US,1,romance,3,1,1
The Desert Trail,MOVIE,1935,54,0.0,5.3,928.0,US,1,western,3,4,4
Marie Galante,MOVIE,1934,88,0.0,5.7,358.0,US,1,thriller,3,3,3
The Dawn Rider,MOVIE,1935,52,0.0,5.1,1178.0,US,1,western,3,4,4
The Admiral Was a Lady,MOVIE,1950,87,0.0,5.8,356.0,US,1,romance,2,1,1
White Pongo,MOVIE,1945,71,0.0,3.0,645.0,US,1,horror,3,7,7
The Rage of Paris,MOVIE,1938,78,0.0,7.0,853.0,US,1,comedy,2,2,2
Why We Fight: The Battle of China,MOVIE,1944,65,0.0,7.0,725.0,US,1,documentation,3,11,11
Never Fear,MOVIE,1950,82,0.0,6.4,542.0,US,1,drama,1,5,5
The Man Who Cheated Himself,MOVIE,1950,81,0.0,6.8,2322.0,US,1,thriller,3,3,3
Lucky Ghost,MOVIE,1942,61,0.0,5.9,186.0,US,1,comedy,2,2,2
Redhead,MOVIE,1941,64,0.0,5.9,85.0,US,1,comedy,2,2,2
Rocky Mountain Mystery,MOVIE,1935,63,0.0,5.9,350.0,US,1,western,1,4,4
Rough Riders' Round-up,MOVIE,1939,58,0.0,5.4,246.0,US,1,western,4,4,4
Fighting Mustang,MOVIE,1948,56,0.0,7.5,63.0,US,1,western,1,4,4
Outpost in Morocco,MOVIE,1949,92,0.0,5.2,447.0,US,1,action,1,0,0
The Sundowners,MOVIE,1950,83,0.0,5.6,480.0,US,1,western,1,4,4
Rogue of the Range,MOVIE,1936,56,0.0,5.7,91.0,US,1,western,4,4,4
Bill and Coo,MOVIE,1948,61,0.0,5.5,271.0,US,1,family,2,17,17
Edge of Doom,MOVIE,1950,99,0.0,6.4,753.0,US,1,drama,2,5,5
Saleslady,MOVIE,1938,65,0.0,5.4,159.0,US,1,drama,3,5,5
The Cowboy and the Lady,MOVIE,1938,91,0.0,6.5,1573.0,US,1,romance,4,1,1
The Sea Ghost,MOVIE,1931,64,0.0,5.6,113.0,US,1,drama,3,5,5
'Neath Canadian Skies,MOVIE,1946,41,0.0,6.6,27.0,US,1,western,1,4,4
The Greeks Had a Word for Them,MOVIE,1932,79,0.0,6.1,434.0,US,1,comedy,1,2,2
Mr. Wise Guy,MOVIE,1942,70,0.0,5.6,512.0,US,1,drama,3,5,5
Rawhide,MOVIE,1938,58,0.0,5.6,167.0,US,1,western,5,4,4
Discarded Lovers,MOVIE,1932,60,0.0,4.8,117.0,US,1,thriller,1,3,3
Tarzan's Revenge,MOVIE,1938,70,0.0,4.8,599.0,US,1,romance,4,1,1
Sabapathy,MOVIE,1941,158,0.0,7.1,155.0,IN,1,comedy,1,18,18
Condemned to Live,MOVIE,1935,67,0.0,4.8,496.0,US,1,thriller,3,3,3
Calendar Girl,MOVIE,1947,88,0.0,5.7,256.0,US,1,romance,1,1,1
The Fabulous Joe,MOVIE,1947,59,0.0,6.3,89.0,US,1,comedy,3,2,2
Outlaws of the Desert,MOVIE,1941,66,0.0,5.8,151.0,US,1,western,2,4,4
The Wedding Night,MOVIE,1935,83,0.0,6.6,964.0,US,1,drama,2,5,5
Why We Fight: War Comes to America,MOVIE,1945,70,0.0,6.1,464.0,US,1,war,2,12,12
Speak Easily,MOVIE,1932,81,0.0,5.8,1017.0,US,1,comedy,1,2,2
Mr. Bug Goes to Town,MOVIE,1941,78,0.0,6.9,1261.0,US,1,comedy,4,2,2
One Rainy Afternoon,MOVIE,1936,80,0.0,5.9,276.0,US,1,comedy,2,2,2
Wide Open Town,MOVIE,1941,79,0.0,6.6,215.0,US,1,western,1,4,4
