title,type,release_year,runtime,seasons,imdb_score,imdb_votes,lead_production,production_countries_cnt,lead_genres,genres_cnt,movie_cluster,dbscan_clusters
Doctor Lisa,MOVIE,2020,120,0.0,7.2,576.0,RU,1,drama,2,154,154
Mary 4 Mayor,MOVIE,2020,96,0.0,6.2,116.0,US,1,comedy,2,2,2
Erica Rhodes: I Love You More,MOVIE,2019,40,0.0,6.1,464.0,,1,,1,13,13
Valayam,MOVIE,2020,141,0.0,5.8,210.0,IN,1,thriller,1,60,60
2 Below 0,MOVIE,2019,48,0.0,6.1,464.0,US,1,comedy,4,2,2
One Last Christmas,MOVIE,2019,159,0.0,6.1,464.0,,1,drama,1,20,20
I Am Norman,MOVIE,2020,18,0.0,6.1,464.0,GB,1,,1,96,96
The Prayer List,MOVIE,2020,103,0.0,6.0,61.0,US,1,drama,1,5,5
Monster SeaFood Wars,MOVIE,2020,84,0.0,6.1,464.0,JP,1,scifi,1,53,53
Ardab Mutiyaran,MOVIE,2019,138,0.0,7.3,575.0,IN,1,drama,1,40,40
The Wake of Light,MOVIE,2019,85,0.0,5.7,127.0,US,1,drama,2,5,5
The Road Ahead,MOVIE,2020,100,0.0,5.1,108.0,CA,1,drama,1,82,82
Chandigarh Amritsar Chandigarh,MOVIE,2019,107,0.0,6.1,464.0,IN,1,romance,1,72,72
Muklawa,MOVIE,2019,112,0.0,6.1,529.0,IN,1,drama,1,40,40
Danny,MOVIE,2020,95,0.0,6.1,464.0,IN,1,thriller,1,60,60
Emerald Run,MOVIE,2020,90,0.0,4.6,112.0,US,1,action,1,0,0
Jonas Kaufmann - Ein Weltstar ganz privat,MOVIE,2020,74,0.0,8.3,11.0,DE,1,documentation,1,166,166
The Birth of Deceit,MOVIE,2019,85,0.0,5.8,11.0,,1,thriller,2,118,118
Switzerland,MOVIE,2020,135,0.0,7.1,587.0,IN,1,drama,1,40,40
Search Out,MOVIE,2020,92,0.0,6.1,464.0,KR,1,thriller,1,124,124
Once a Marine,MOVIE,2020,65,0.0,8.4,62.0,AF,2,documentation,2,-1,-1
Child Support,MOVIE,2019,83,0.0,5.8,59.0,US,1,comedy,1,2,2
What Went Wrong: Countdown to Catastrophe,SHOW,2019,47,2.0,7.0,30.0,US,1,documentation,1,46,46
Putham Pudhu Kaalai,MOVIE,2020,129,0.0,6.8,1698.0,IN,1,drama,2,40,40
Double Down,MOVIE,2020,108,0.0,4.4,54.0,,1,drama,1,20,20
Big Top Evil,MOVIE,2019,81,0.0,3.2,146.0,US,1,horror,1,7,7
Theatre: A Love Story,MOVIE,2020,136,0.0,6.1,464.0,JP,1,romance,1,-1,-1
Max and Me,MOVIE,2020,104,0.0,5.6,165.0,,1,drama,2,20,20
ReVisitant,MOVIE,2019,100,0.0,3.9,94.0,,1,horror,1,70,70
Bonus,MOVIE,2020,121,0.0,6.1,464.0,IN,1,drama,1,40,40
Smile Please,MOVIE,2019,132,0.0,7.0,217.0,IN,1,drama,1,40,40
Gubbi Mele Bramhastra,MOVIE,2019,143,0.0,5.0,153.0,IN,1,comedy,1,18,18
Ghost Walk,MOVIE,2019,90,0.0,6.1,464.0,KR,1,fantasy,1,-1,-1
El mundo fuera,MOVIE,2020,66,0.0,6.4,21.0,,1,documentation,1,143,143
Sushi by Biswa Kalyan Rath,MOVIE,2019,59,0.0,6.1,464.0,IN,1,comedy,1,18,18
Chance,MOVIE,2019,90,0.0,4.3,123.0,US,1,drama,3,5,5
Wallflower,MOVIE,2019,84,0.0,6.1,95.0,US,1,crime,4,6,6
Madha,MOVIE,2020,105,0.0,5.1,502.0,IN,1,thriller,1,60,60
